Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Reported Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Covered Emissions (MT CO2e),CCA Status,Georeferenced Location
Northwest Hardwoods Inc. - Centralia,2022,Wood Products,Lumber Mills,321113.0,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,12065.0,7893.0,4063.0,17.0,93.0,0.0,0.0,0.0,0.0,,1.0,"46.734454, -122.991963",,,POINT (-122.991963 46.734454)
Seattle-Tacoma International Airport - Seattle,2021,Government,Other Government,488119.0,Other Airport Operations,Port of Seattle,Seattle,King,Puget Sound Clean Air Agency,14978.0,0.0,14963.0,7.0,9.0,0.0,0.0,0.0,0.0,,1.0,"47.443643, -122.302452",,,POINT (-122.302452 47.443643)
Avista Corporation - supplier,2018,Supplier,Natural Gas Supplier,,,Avista Corporation,Spokane,Spokane,,1044525.0,0.0,1043447.0,492.0,586.0,0.0,0.0,0.0,0.0,,,,,,
Avista - EPE - Spokane,2022,Power,IOU,,,Avista Corporation,Spokane,Spokane,,2259628.0,,,,,,,,,,,,,,
Public Utility District No. 1 of Grays Harbor County - Aberdeen,2022,Power,COU,2211.0,"Electric Power Generation, Transmission and Distribution",Public Utility District No. 1 of Grays Harbor County,Aberdeen,Grays Harbor,,29078.0,,,,,,,,,,,,,,
PUD No 1 of Chelan County - Wenatchee,2023,Power,COU,221118.0,Other Electric Power Generation,PUD No 1 of Chelan County,Wenatchee,Chelan,,1407.0,,,,,,,,,,,,,Reporter,
Seattle City Light - Seattle,2023,Power,COU,221122.0,Electric Power Distribution,"The City of Seattle, City Light Department",Seattle,King,,268791.0,,,,,,,,,,,,194361.0,Covered Entity,
Shell Energy North America US LP,2022,Power,Marketer,221122.0,Electric Power Distribution,"Shell USA, Inc.",San Diego,San Diego,,384753.0,,,,,,,,,,,,,,
"The Energy Authority, Inc. - Jacksonville",2023,Power,Marketer,221122.0,Electric Power Distribution,"The Energy Authority, Inc.",Jacksonville,Duval,,19058.0,,,,,,,,,,,,,Reporter,
Public Utility No. 1 of Franklin County - Pasco,2022,Power,COU,2211.0,"Electric Power Generation, Transmission and Distribution",Public Utility No. 1 of Franklin County,Pasco,Franklin,,30875.0,,,,,,,,,,,,,,
Public Utility District No.1 of Cowlitz County,2023,Power,COU,2211.0,"Electric Power Generation, Transmission and Distribution",Public Utility District No.1 of Cowlitz County,Longview,Cowlitz,,88481.0,,,,,,,,,,,,88481.0,Covered Entity,
Avangrid Renewables LLC - Portland,2023,Power,Electrical Transmission and Distribution,221118.0,Other Electric Power Generation,"Avangrid, INC",Portland,Multnomah,,108329.0,,,,,,,,,,,,105755.0,Covered Entity,
Cheyne Landfill - Zillah,2013,Waste,Landfills,562212.0,Solid Waste Landfill,Yakima County Public Services,Zillah,Yakima,Yakima Regional Clean Air Agency,31807.0,0.0,0.0,31807.0,0.0,0.0,0.0,0.0,0.0,,2.0,"46.4785, -120.2688",,,POINT (-120.2688 46.4785)
Goodrich Corporation - Spokane,2019,Manufacturing,Transportation Industry,336413.0,Other Aircraft Parts and Auxiliary Equipment Manufacturing,Raytheon Technologies Corp,Spokane,Spokane,Spokane Regional Clean Air Agency,52018.0,0.0,51957.0,26.0,35.0,0.0,0.0,0.0,0.0,,2.0,"47.583604, -117.568511",,,POINT (-117.568511 47.583604)
Puget Sound Energy - Ferndale Generating Station - Ferndale,2013,Power Plants,Natural Gas Turbine Plants,221112.0,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Ferndale,Whatcom,Northwest Clean Air Agency,395314.0,0.0,394913.0,183.0,218.0,0.0,0.0,0.0,0.0,,3.0,"48.828707, -122.685533",,,POINT (-122.685533 48.828707)
Kettle Falls Generating Station - Kettle Falls,2015,Power Plants,"Other Power, Heating, or Cooling Plants",221117.0,Biomass Electric Power Generation,Avista Corp.,Kettle Falls,Stevens,Ecology: Eastern Regional Office,439432.0,424990.0,2998.0,6582.0,4862.0,0.0,0.0,0.0,0.0,,3.0,"48.620335, -118.110841",,,POINT (-118.110841 48.620335)
Matheson - Anacortes,2018,Petroleum Systems,Other Petroleum Systems,325120.0,Industrial Gas Manufacturing,Linde Gas North America LLC,Anacortes,Skagit,Northwest Clean Air Agency,61179.0,0.0,61179.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,"48.467646, -122.554343",,,POINT (-122.554343 48.467646)
Northwest Pipeline C/S - Goldendale,2017,Natural Gas Systems,Natural Gas Transmission/Compression,486210.0,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Goldendale,Klickitat,Ecology: Central Regional Office,19062.0,0.0,16650.0,2403.0,9.0,0.0,0.0,0.0,0.0,,1.0,"45.771216, -120.799267",,,POINT (-120.799267 45.771216)
Sierra Pacific Industries - Burlington - Mount Vernon,2020,Wood Products,Lumber Mills,321113.0,Sawmills,Sierra Pacific Industries,Mount Vernon,Skagit,Northwest Clean Air Agency,218424.0,202899.0,12803.0,395.0,2328.0,0.0,0.0,0.0,0.0,,3.0,"48.448553, -122.434613",,,POINT (-122.434613 48.448553)
Hampton Lumber Mills Washington Inc. - Morton,2014,Wood Products,Lumber Mills,321113.0,Sawmills,Hampton Lumber Mills Washington Inc.,Morton,Lewis,Southwest Clean Air Agency,28827.0,28447.0,0.0,55.0,325.0,0.0,0.0,0.0,0.0,,2.0,"46.565997, -122.269573",,,POINT (-122.269573 46.565997)
Port Townsend Paper Corporation - Port Townsend,2020,Pulp and Paper,Kraft Mills,322121.0,Paper (except Newsprint) Mills,Port Townsend Paper Corp.,Port Townsend,Jefferson,Ecology: Industrial Section,587700.0,502134.0,80320.0,2513.0,2733.0,0.0,0.0,0.0,0.0,,3.0,"48.093793, -122.796806",,,POINT (-122.796806 48.093793)
Keyes Fibre Corporation - Wenatchee,2016,Pulp and Paper,Other Pulp and Paper,322299.0,All Other Converted Paper Product Manufacturing,Tekni-Plex Wenatchee Fiber Consumer Porducts,Wenatchee,Chelan,Ecology: Central Regional Office,18426.0,0.0,18407.0,9.0,10.0,0.0,0.0,0.0,0.0,,1.0,"47.485987, -120.316363",,,POINT (-120.316363 47.485987)
Avista Corporation - WA State DOE Reporting - statewide,2018,Natural Gas Systems,Natural Gas Local Distribution Companies,221121.0,Electric Bulk Power Transmission and Control,Avista Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,8421.0,0.0,0.0,0.0,0.0,0.0,0.0,8421.0,0.0,,1.0,"47.673486, -117.388514",,,POINT (-117.388514 47.673486)
"Rainier Veneer, Inc. - Spanaway",2020,Wood Products,Other Wood Products,321212.0,Softwood Veneer and Plywood Manufacturing,Rainier Veneer Inc.,Spanaway,Pierce,Puget Sound Clean Air Agency,15835.0,12800.0,2861.0,26.0,148.0,0.0,0.0,0.0,0.0,,1.0,"47.062059, -122.318981",,,POINT (-122.318981 47.062059)
Kiva United Energy - San Joaquin,2022,Supplier,Other Fuel Supplier,424720.0,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Kiva United Energy,Manteca,San Joaquin,,59838.0,0.0,59598.0,71.0,169.0,0.0,0.0,0.0,0.0,,,,,,
Darigold - Lynden,2018,Food Production,Dairy Products,311514.0,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Lynden,Whatcom,Northwest Clean Air Agency,17919.0,0.0,17901.0,9.0,10.0,0.0,0.0,0.0,0.0,,1.0,"48.947567, -122.451915",,,POINT (-122.451915 48.947567)
Hidden Valley Landfill - Puyallup,2021,Waste,Landfills,562212.0,Solid Waste Landfill,Waste Connections US Inc.,Puyallup,Pierce,Puget Sound Clean Air Agency,5080.0,0.0,0.0,5080.0,0.0,0.0,0.0,0.0,0.0,Voluntary reporter.,1.0,"47.095, -122.2878",,,POINT (-122.2878 47.095)
Northwest Pipeline Willard C/S - Cook,2017,Natural Gas Systems,Natural Gas Transmission/Compression,486210.0,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Cook,Skamania,Southwest Clean Air Agency,9287.0,0.0,7707.0,1575.0,4.0,0.0,0.0,0.0,0.0,,1.0,"45.778087, -121.626311",,,POINT (-121.626311 45.778087)
Darigold - Chehalis,2018,Food Production,Dairy Products,311514.0,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Chehalis,Lewis,Southwest Clean Air Agency,12871.0,0.0,12857.0,6.0,7.0,0.0,0.0,0.0,0.0,,1.0,"46.659952, -122.970162",,,POINT (-122.970162 46.659952)
Georgia-Pacific Consumer Operations LLC - Camas,2013,Pulp and Paper,Kraft Mills,322120.0,Paper Mills,Koch Industries Inc.,Camas,Clark,Ecology: Industrial Section,675348.0,535823.0,129412.0,8093.0,2020.0,0.0,0.0,0.0,0.0,Assigned Emissions Level,3.0,"45.584271, -122.40843",,,POINT (-122.40843 45.584271)
"Interfor US, Inc. - Port Angeles",2018,Wood Products,Lumber Mills,321113.0,Sawmills,Interfor US Inc.,Port Angeles,Clallam,Olympic Region Clean Air Agency,35595.0,35126.0,0.0,68.0,402.0,0.0,0.0,0.0,0.0,,2.0,"48.103425, -123.518642",,,POINT (-123.518642 48.103425)
Lamb Weston - Warden,2022,Food Production,Potato Products,311411.0,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Warden,Grant,Ecology: Eastern Regional Office,15390.0,0.0,15374.0,7.0,9.0,0.0,0.0,0.0,0.0,,1.0,"46.971504, -119.055427",,,POINT (-119.055427 46.971504)
Tree Top - Selah Campus,2021,Food Production,Fruit Products,311423.0,Dried and Dehydrated Food Manufacturing,Tree Top Inc.,Selah,Yakima,Yakima Regional Clean Air Agency,15073.0,0.0,15058.0,7.0,8.0,0.0,0.0,0.0,0.0,,1.0,"46.64992, -120.52755",,,POINT (-120.52755 46.64992)
Fairchild AFB - Spokane Co.,2019,Government,National Security,928110.0,National Security,US Government,Fairchild Air Force Base,Spokane,Spokane Regional Clean Air Agency,13366.0,0.0,13352.0,6.0,7.0,0.0,0.0,0.0,0.0,,1.0,"47.641332, -117.644832",,,POINT (-117.644832 47.641332)
McKinley Paper Co. - Washington Mill - Port Angeles,2021,Pulp and Paper,Other Pulp and Paper,322121.0,Paper (except Newsprint) Mills,McKinley Paper Co.,Port Angeles,Clallam,Olympic Region Clean Air Agency,160996.0,154551.0,525.0,4152.0,1769.0,0.0,0.0,0.0,0.0,,3.0,"48.134623, -123.467524",,,POINT (-123.467524 48.134623)
"Solvay Chemicals, Inc. - Longview",2019,Chemicals,Other Chemicals,325180.0,Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,56448.0,0.0,56448.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,"46.137218, -122.982847",,,POINT (-122.982847 46.137218)
Lamb Weston - Pasco,2021,Food Production,Potato Products,311411.0,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Pasco,Franklin,Ecology: Eastern Regional Office,40297.0,0.0,40255.0,19.0,23.0,0.0,0.0,0.0,0.0,,2.0,"46.288137, -119.115336",,,POINT (-119.115336 46.288137)
ExxonMobil Oil Corporation,2022,Supplier,Other Fuel Supplier,424710.0,Petroleum Bulk Stations and Terminals,ExxonMobil Oil Corporation,Houston,Harris,,1243182.0,61026.0,1164698.0,1434.0,16025.0,0.0,0.0,0.0,0.0,,,,,,
Wilson Oil Inc,2022,Supplier,Other Fuel Supplier,424720.0,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Wilson Oil Inc,Longview,Cowlitz,,469691.0,20260.0,444019.0,452.0,4960.0,0.0,0.0,0.0,0.0,,,,,,
Alon Asphalt Company - Seattle,2014,Petroleum Systems,Other Petroleum Systems,424710.0,Petroleum Bulk Stations and Terminals,Delek US Holdings Inc.,Seattle,King,Puget Sound Clean Air Agency,16004.0,0.0,15976.0,19.0,9.0,0.0,0.0,0.0,0.0,,1.0,"47.781642, -122.395299",,,POINT (-122.395299 47.781642)
NW Natural - supplier,2019,Supplier,Natural Gas Supplier,221210.0,Natural Gas Distribution,,Portland,Multnomah,,499057.0,0.0,498545.0,234.0,279.0,0.0,0.0,0.0,0.0,,,,,,
NGL Energy Partners LP,2022,Supplier,Other Fuel Supplier,424720.0,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),NGL Energy Partners LP,Tulsa,Tulsa,,200597.0,0.0,199792.0,238.0,567.0,0.0,0.0,0.0,0.0,,,,,,
